EntrezGeneSymbol,Var_subject,Var_resid,ICC,stable
TMEM190,1922.0807878717978,94.29199980635914,0.9532368218899959,TRUE
TM2D1,2043735.763598852,101198.8726155872,0.9528196006969277,TRUE
NCF1B,7273208.659390116,362003.99187287677,0.9525875691474035,TRUE
HRC,10658.534388905631,534.6646655771021,0.9522330780526077,TRUE
TAFA3,1869910.5610737603,93895.88484752974,0.9521867926227934,TRUE
GJA8,443652.81137019926,22374.53191480237,0.9519888001483228,TRUE
EPGN,34941.68744945299,1762.4039407670534,0.9519834472394364,TRUE
COQ8B,3895.0882423900234,196.7926662684776,0.9519065508842008,TRUE
EDEM2,940363.0879743235,47619.94839765206,0.951800844098984,TRUE
IGFBPL1,28045.196972343034,1421.804618789906,0.9517492604602924,TRUE
CD177,66916.63354438951,3394.0858857096573,0.9517273338515052,TRUE
NR2C1,117449.85705071871,5957.9439879825695,0.9517214962276646,TRUE
L3HYPDH,32717.07961307465,1667.6693299750202,0.9514997380746584,TRUE
IGSF6,1502858.245295393,77011.605400559,0.9512544622795134,TRUE
FLCN,109359.84646683138,5630.954476262428,0.9510312613697764,TRUE
C11orf86,407315.2678168347,20985.402623712467,0.9510031058272054,TRUE
MYRIP,458769.1053576438,23639.851201118152,0.9509962431673082,TRUE
IL1RAPL1,17337.221945830934,894.1959697534103,0.9509530211038031,TRUE
TCP10L3,673129.4790856243,34939.2105973602,0.9506556198481209,TRUE
GDF11,10209.359496212915,533.875998942949,0.9503058460196955,TRUE
EYS,250076.6594412405,13105.53155444866,0.9502035775868157,TRUE
FAM221A,3648728.236172652,191466.0748304905,0.9501415659405851,TRUE
STATH,456904.2081548005,24130.243179005916,0.9498367671752036,TRUE
RFPL1,140282.5014578508,7409.876414366078,0.9498289856178151,TRUE
NFKBIB,13490.262954559392,712.7013090635664,0.9498202420399693,TRUE
ZBTB7A,99465.19000592205,5258.728487674832,0.9497848384273707,TRUE
TRAF3IP1,50548.230965412164,2675.4292422213925,0.94973233272976465,TRUE
TBK1,5386.383916382414,285.29933276488686,0.949697590603675,TRUE
ADAMTS9,16957.775591601137,900.2159693228156,0.9495903015604158,TRUE
NNMT,181830.71654219163,9655.608337610987,0.949575467889564,TRUE
ACCS,213373.17888759135,11373.888278342436,0.9493924952090924,TRUE
PRKAR2A,10651.113376095174,567.8753139469078,0.9493826645488153,TRUE
HAUS1,114154.03109132034,6090.623792179108,0.9493480704146052,TRUE
SPATA46,198901.6946202102,10617.576970873624,0.9493241032662817,TRUE
LGALS8,1978.1982322012495,105.82933312499216,0.9492188419741823,TRUE
CD274,90360.7359087564,4837.4118347715075,0.949185861811052,TRUE
EXOC3,1210380.4422565363,65037.173774409486,0.9490071542395636,TRUE
SMARCA1,90633.01778669577,4873.418657154277,0.9489728772361907,TRUE
SAMHD1,59243.61453036199,3189.385890829667,0.9489150630385674,TRUE
GLT8D2,45062.95933874349,2433.4719952038613,0.9487651613635113,TRUE
TULP1,7578.405443909328,410.8099859125156,0.9485794331719909,TRUE
PTTG3P,11692.465028547014,635.7086448516968,0.9484344833474072,TRUE
INSL5,651370.0986918885,35464.22793102883,0.9483656734144285,TRUE
UCN3,4919531.129929514,268683.54877716914,0.9482127156611517,TRUE
COA4,3265404.463389389,178358.82031748688,0.9482081648406737,TRUE
EIF4A3,16148.537978895949,883.0313029756724,0.948153262429225,TRUE
GORASP1,2630556.643527944,143932.4877184427,0.9481228864451222,TRUE
PLBD1,648902.979918224,35509.26344470413,0.9481171416948566,TRUE
SYCE1L,649939.4123109909,35622.6914415337,0.9480387097732682,TRUE
CEACAM18,63950.83998430711,3516.608659854746,0.9478769579919628,TRUE
LYSMD3,1171.111658996397,64.5093311112852,0.9477919753486355,TRUE
FCGR3A,4608854.308879159,254554.255224873,0.9476592904195437,TRUE
CSF2,2400.2555675466847,132.5906664083683,0.9476515136880903,TRUE
MAJIN,18718601.007775124,1035860.0262426378,0.9475632352379113,TRUE
GNPDA2,132277.02543101134,7359.287985830713,0.9472967467720107,TRUE
